Label (Grouping),Year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $174,999","$175,000 to $199,999","$200,000 to $249,999","$250,000 to $299,999","$300,000 to $399,999","$400,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 to $1,499,999","$1,500,000 to $1,999,999","$2,000,000 or more"
"Census Tract 104.09, Multnomah County, Oregon",2019,"1,896",28,0,0,0,0,15,18,0,0,0,0,0,0,0,0,17,45,179,355,732,430,77,0,0,0,0
"Census Tract 104.10, Multnomah County, Oregon",2019,624,11,0,0,0,0,0,0,0,0,0,18,0,22,74,40,22,85,135,111,97,9,0,0,0,0,0
"Census Tract 104.11, Multnomah County, Oregon",2019,625,0,11,17,0,0,0,0,20,8,12,0,0,0,27,38,69,67,125,145,75,0,11,0,0,0,0
"Census Tract 105, Multnomah County, Oregon",2019,"1,303",0,0,10,0,11,0,10,0,0,0,19,0,0,11,0,8,16,84,122,293,300,292,67,18,0,42
"Census Tract 106, Multnomah County, Oregon",2019,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,44,37,107,38,9,22,0
"Census Tract 9800, Multnomah County, Oregon",2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 1.01, Multnomah County, Oregon",2020,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,30,30,123,152,172,70,12,0,0
"Census Tract 1.02, Multnomah County, Oregon",2020,"1,196",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,40,0,200,177,566,72,96,13,0
"Census Tract 2.01, Multnomah County, Oregon",2020,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,141,442,65,18,0,0
"Census Tract 2.02, Multnomah County, Oregon",2020,569,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,194,314,33,0,0,0
"Census Tract 3.01, Multnomah County, Oregon",2020,"1,019",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,60,189,535,201,17,0,0
"Census Tract 3.02, Multnomah County, Oregon",2020,"2,461",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,17,48,147,416,867,749,164,0,39
"Census Tract 4.01, Multnomah County, Oregon",2020,"1,062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,7,49,257,345,333,51,0,0,0
"Census Tract 4.02, Multnomah County, Oregon",2020,965,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,39,59,80,315,301,149,5,0,0,0
"Census Tract 5.01, Multnomah County, Oregon",2020,"1,236",9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,8,22,110,650,237,169,8,9,0,0
"Census Tract 5.02, Multnomah County, Oregon",2020,"1,204",0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,17,113,176,486,339,52,0,0,0,0
"Census Tract 6.01, Multnomah County, Oregon",2020,"1,687",0,0,0,7,0,0,9,0,0,8,0,0,0,0,6,59,16,188,381,493,94,135,284,0,0,7
"Census Tract 6.02, Multnomah County, Oregon",2020,"1,219",12,49,0,0,0,0,0,18,0,0,0,0,7,26,25,25,75,187,252,394,76,57,0,0,0,16
"Census Tract 7.01, Multnomah County, Oregon",2020,"1,421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,9,29,65,463,540,271,7,0,0,0
"Census Tract 7.02, Multnomah County, Oregon",2020,"1,281",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,63,197,465,457,64,0,18,0,0
"Census Tract 8.01, Multnomah County, Oregon",2020,"1,183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,14,256,226,596,13,0,0,0
"Census Tract 8.02, Multnomah County, Oregon",2020,"1,124",0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,17,0,17,12,376,415,270,0,0,0,0
"Census Tract 9.01, Multnomah County, Oregon",2020,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,102,165,513,113,7,0,0
"Census Tract 9.02, Multnomah County, Oregon",2020,744,0,0,0,0,0,0,0,17,0,0,0,0,0,0,14,0,0,0,41,222,231,219,0,0,0,0
"Census Tract 10, Multnomah County, Oregon",2020,"1,067",0,0,0,0,0,0,0,0,0,12,0,0,0,40,0,0,0,0,43,244,222,428,43,35,0,0
"Census Tract 11.01, Multnomah County, Oregon",2020,127,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,41,45,6,0,0
"Census Tract 11.02, Multnomah County, Oregon",2020,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,52,99,87,18,0,34
"Census Tract 12.02, Multnomah County, Oregon",2020,"1,010",11,0,0,0,0,0,0,11,0,0,10,0,0,0,7,0,0,11,21,58,85,312,413,59,0,12
"Census Tract 12.03, Multnomah County, Oregon",2020,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,67,41,149,35,17,0,0
"Census Tract 12.04, Multnomah County, Oregon",2020,137,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,31,10,27,18,13,22,0,0,0
"Census Tract 13.01, Multnomah County, Oregon",2020,579,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,6,0,24,39,179,200,110,0,0,0
"Census Tract 13.02, Multnomah County, Oregon",2020,907,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,13,77,107,587,105,0,0,0
"Census Tract 14, Multnomah County, Oregon",2020,"1,159",0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,49,17,93,340,599,17,0,0,0
"Census Tract 15, Multnomah County, Oregon",2020,"1,133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,51,239,621,155,41,13,0
"Census Tract 16.01, Multnomah County, Oregon",2020,"1,457",23,0,0,0,0,0,0,0,0,0,0,0,19,0,6,9,0,41,0,193,300,667,100,62,37,0
"Census Tract 16.02, Multnomah County, Oregon",2020,"1,494",11,39,0,0,12,0,0,0,0,0,0,26,0,0,0,21,38,81,128,900,152,80,0,6,0,0
"Census Tract 17.02, Multnomah County, Oregon",2020,821,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,105,29,28,66,380,186,19,0,0,0,0
"Census Tract 17.03, Multnomah County, Oregon",2020,"1,212",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,23,98,9,103,384,328,242,0,0,0,0
"Census Tract 17.04, Multnomah County, Oregon",2020,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,11,47,284,170,206,0,0,0,0
"Census Tract 18.01, Multnomah County, Oregon",2020,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,210,153,340,0,0,0,0
"Census Tract 18.02, Multnomah County, Oregon",2020,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,96,40,85,444,58,35,0,0
"Census Tract 19, Multnomah County, Oregon",2020,"1,607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,40,58,664,518,145,110,54
"Census Tract 20.01, Multnomah County, Oregon",2020,423,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,38,0,0,6,29,63,202,43,14,0,0
"Census Tract 20.02, Multnomah County, Oregon",2020,308,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,12,176,48,0,0,0
"Census Tract 21.01, Multnomah County, Oregon",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 21.02, Multnomah County, Oregon",2020,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23,78,8,0,0,0
"Census Tract 22.03, Multnomah County, Oregon",2020,640,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,9,42,159,364,48,0,0,0
"Census Tract 23.03, Multnomah County, Oregon",2020,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,11,10,20,27,128,0,0,0,0
"Census Tract 24.01, Multnomah County, Oregon",2020,876,0,0,0,0,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,24,37,413,251,74,14,0
"Census Tract 24.02, Multnomah County, Oregon",2020,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,13,60,133,57,172,57,50,0,0
"Census Tract 25.01, Multnomah County, Oregon",2020,"1,680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,42,58,575,789,123,51,25
"Census Tract 25.02, Multnomah County, Oregon",2020,746,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,57,37,0,337,78,142,16,11
"Census Tract 26, Multnomah County, Oregon",2020,"1,118",13,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,24,95,599,205,43,0,0
"Census Tract 27.01, Multnomah County, Oregon",2020,"1,153",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,21,0,19,76,567,333,126,0,0
"Census Tract 27.02, Multnomah County, Oregon",2020,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,35,163,329,113,0,0,0
"Census Tract 28.01, Multnomah County, Oregon",2020,"1,028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,98,223,428,235,35,0,0
"Census Tract 28.02, Multnomah County, Oregon",2020,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,39,159,252,429,31,0,0,0
"Census Tract 29.01, Multnomah County, Oregon",2020,"1,296",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,47,109,336,623,174,0,0,0,0
"Census Tract 29.02, Multnomah County, Oregon",2020,"1,902",0,0,0,0,24,0,1,16,0,32,0,0,0,0,0,0,0,0,110,538,681,413,66,0,21,0
"Census Tract 29.03, Multnomah County, Oregon",2020,975,16,0,0,0,0,0,0,0,11,0,0,0,0,40,0,11,0,59,289,423,118,0,8,0,0,0
"Census Tract 30, Multnomah County, Oregon",2020,"1,784",0,0,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,18,41,85,444,883,285,0,0,0
"Census Tract 31, Multnomah County, Oregon",2020,"1,401",48,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,10,9,41,103,121,726,302,24,0,0
"Census Tract 32, Multnomah County, Oregon",2020,"1,290",17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,16,117,208,729,172,18,0,0
"Census Tract 33.01, Multnomah County, Oregon",2020,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,125,170,191,30,0,0,0
"Census Tract 33.02, Multnomah County, Oregon",2020,777,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,38,247,317,132,16,0,0
"Census Tract 34.01, Multnomah County, Oregon",2020,892,0,0,0,0,0,13,0,0,9,9,0,0,0,0,0,9,0,0,49,81,204,412,94,0,0,12
"Census Tract 34.02, Multnomah County, Oregon",2020,583,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,196,58,88,200,0,0,0,0
"Census Tract 35.01, Multnomah County, Oregon",2020,705,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,12,16,80,237,328,7,8,0,0
"Census Tract 35.02, Multnomah County, Oregon",2020,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,142,266,80,28,0,0
"Census Tract 36.01, Multnomah County, Oregon",2020,"1,354",9,0,35,0,40,0,0,0,23,0,0,10,0,0,0,19,95,58,91,303,344,318,9,0,0,0
"Census Tract 36.02, Multnomah County, Oregon",2020,"2,195",18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,44,20,202,437,"1,280",176,0,0,0
"Census Tract 36.03, Multnomah County, Oregon",2020,576,5,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,21,0,24,98,152,226,16,4,0,20
"Census Tract 37.01, Multnomah County, Oregon",2020,"1,026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,26,20,337,466,143,24,0,0,0
"Census Tract 37.02, Multnomah County, Oregon",2020,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,106,114,308,98,4,0,0
"Census Tract 38.01, Multnomah County, Oregon",2020,754,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,23,28,278,211,156,33,7,0,0
"Census Tract 38.02, Multnomah County, Oregon",2020,903,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,28,30,199,429,190,0,0,0,17
"Census Tract 38.03, Multnomah County, Oregon",2020,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,144,366,360,17,0,0,0
"Census Tract 39.02, Multnomah County, Oregon",2020,"1,095",0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,10,31,181,442,364,32,11,0,0
"Census Tract 39.03, Multnomah County, Oregon",2020,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,45,67,320,225,110,32,0,0,0
"Census Tract 39.04, Multnomah County, Oregon",2020,"1,352",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,202,558,357,169,14,0,0,0
"Census Tract 40.02, Multnomah County, Oregon",2020,"1,133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,303,298,460,8,2,0,0
"Census Tract 40.03, Multnomah County, Oregon",2020,"1,471",0,0,0,0,0,0,0,0,0,25,0,8,0,20,27,32,0,130,95,652,420,47,15,0,0,0
"Census Tract 41.02, Multnomah County, Oregon",2020,"1,673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,74,54,162,594,410,166,162,0,0,15
"Census Tract 41.03, Multnomah County, Oregon",2020,"1,286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,181,485,276,157,0,0,0,0
"Census Tract 41.04, Multnomah County, Oregon",2020,397,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,12,86,178,35,69,0,0,0,0
"Census Tract 42, Multnomah County, Oregon",2020,772,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,51,56,52,324,184,76,3,0,0,0
"Census Tract 43, Multnomah County, Oregon",2020,401,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,13,43,48,83,98,93,17,0,0
"Census Tract 45, Multnomah County, Oregon",2020,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,35,215,182,120,0,7
"Census Tract 46.01, Multnomah County, Oregon",2020,"1,302",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,82,115,272,325,304,147,36
"Census Tract 46.02, Multnomah County, Oregon",2020,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,22,27,109,122,230,44,70
"Census Tract 47, Multnomah County, Oregon",2020,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,101,118,160,74,55,16
"Census Tract 48, Multnomah County, Oregon",2020,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,116,62,27,30,0,17,19
"Census Tract 49.01, Multnomah County, Oregon",2020,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,71,25,58,56,23,0
"Census Tract 49.02, Multnomah County, Oregon",2020,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,57,0,0,0,0
"Census Tract 50.01, Multnomah County, Oregon",2020,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,205,134,121,23,34,7,0
"Census Tract 50.02, Multnomah County, Oregon",2020,123,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,12,0,0,0,0,0,45,0,0,0
"Census Tract 51.01, Multnomah County, Oregon",2020,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,114,88,194,155,116,0,24
"Census Tract 51.02, Multnomah County, Oregon",2020,758,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,177,55,239,100,48,33,90
"Census Tract 51.03, Multnomah County, Oregon",2020,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,33,0,58,0,0,0,0
"Census Tract 52.01, Multnomah County, Oregon",2020,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,14,0,0,17,0,0,0,0,0
"Census Tract 52.02, Multnomah County, Oregon",2020,441,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,4,131,152,43,30,21,0,14
"Census Tract 55, Multnomah County, Oregon",2020,309,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,22,13,29,29,49,104,24,0,16,0
"Census Tract 56.01, Multnomah County, Oregon",2020,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,69,29,46,85,22,0,0,0
"Census Tract 56.02, Multnomah County, Oregon",2020,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
"Census Tract 57.01, Multnomah County, Oregon",2020,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
"Census Tract 57.02, Multnomah County, Oregon",2020,590,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,159,201,70,28,48,0,0
"Census Tract 58, Multnomah County, Oregon",2020,"1,295",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,44,0,61,47,336,500,169,51,42
"Census Tract 59.01, Multnomah County, Oregon",2020,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,18,142,91,30,0,0,0
"Census Tract 59.02, Multnomah County, Oregon",2020,735,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,13,49,58,388,146,43,11,0
"Census Tract 59.03, Multnomah County, Oregon",2020,"1,014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,138,152,220,325,135,14,0,14
"Census Tract 60.01, Multnomah County, Oregon",2020,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,17,67,107,118,43,16,0
"Census Tract 60.02, Multnomah County, Oregon",2020,754,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,6,0,60,64,491,116,0,0,0
"Census Tract 61, Multnomah County, Oregon",2020,873,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,32,110,418,254,27,0,8
"Census Tract 62, Multnomah County, Oregon",2020,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,145,202,453,101,6,0,16
"Census Tract 63, Multnomah County, Oregon",2020,"1,515",11,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,40,64,113,258,328,178,178,181,148
"Census Tract 64.02, Multnomah County, Oregon",2020,"2,170",14,0,0,0,0,0,0,0,0,0,0,0,0,48,39,10,23,39,19,243,444,914,289,34,54,0
"Census Tract 64.03, Multnomah County, Oregon",2020,857,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,10,10,16,53,221,218,302,8,0,0,0
"Census Tract 64.04, Multnomah County, Oregon",2020,"1,171",6,0,0,0,0,0,0,0,11,10,0,0,0,19,6,52,66,104,50,153,165,431,82,16,0,0
"Census Tract 65.01, Multnomah County, Oregon",2020,"2,124",0,16,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,14,212,344,671,699,75,48,30,0
"Census Tract 65.02, Multnomah County, Oregon",2020,"1,472",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,28,375,72,98,351,357,148,11,0,15
"Census Tract 66.01, Multnomah County, Oregon",2020,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,42,95,199,445,128,8,7,0
"Census Tract 66.02, Multnomah County, Oregon",2020,"1,207",0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,53,73,134,348,448,133,0,0,0
"Census Tract 67.01, Multnomah County, Oregon",2020,862,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,63,291,438,12,15,8,0
"Census Tract 67.02, Multnomah County, Oregon",2020,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,7,93,256,479,28,5,0,0
"Census Tract 68.01, Multnomah County, Oregon",2020,620,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,14,80,290,179,27,0,0
"Census Tract 68.02, Multnomah County, Oregon",2020,"1,096",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,49,123,684,170,40,9,12
"Census Tract 69, Multnomah County, Oregon",2020,"1,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,17,25,60,171,244,233,68,149
"Census Tract 70.01, Multnomah County, Oregon",2020,"1,763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,335,107,474,540,158,86,16
"Census Tract 70.02, Multnomah County, Oregon",2020,"1,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,57,0,234,442,206,90,103
"Census Tract 71, Multnomah County, Oregon",2020,846,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,11,10,38,29,93,55,244,200,129,9,5
"Census Tract 72.01, Multnomah County, Oregon",2020,901,28,0,15,21,0,33,19,23,30,44,6,23,8,14,0,33,78,61,74,115,143,124,0,9,0,0
"Census Tract 72.02, Multnomah County, Oregon",2020,766,8,0,10,16,17,27,0,18,27,16,0,0,0,30,0,0,11,24,66,184,167,126,10,9,0,0
"Census Tract 73, Multnomah County, Oregon",2020,75,0,0,0,0,0,0,0,0,0,5,0,0,0,5,10,0,0,0,5,19,5,0,26,0,0,0
"Census Tract 74, Multnomah County, Oregon",2020,609,20,18,0,0,0,0,8,0,0,0,18,0,0,0,0,19,19,68,40,114,109,169,5,0,0,2
"Census Tract 75, Multnomah County, Oregon",2020,"1,076",49,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,63,138,320,351,87,0,44,0,15
"Census Tract 76, Multnomah County, Oregon",2020,858,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27,77,57,347,147,37,17,0,0,0
"Census Tract 77, Multnomah County, Oregon",2020,677,5,0,14,15,2,0,0,0,5,0,0,4,0,47,15,0,33,79,80,324,50,4,0,0,0,0
"Census Tract 78, Multnomah County, Oregon",2020,569,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,57,69,201,131,95,0,0,0,0
"Census Tract 79, Multnomah County, Oregon",2020,965,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,31,94,89,512,184,45,0,0,0,0
"Census Tract 80.01, Multnomah County, Oregon",2020,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,58,65,488,67,8,23,0,0,14
"Census Tract 80.02, Multnomah County, Oregon",2020,653,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,6,90,90,401,49,0,0,0,0,0
"Census Tract 81, Multnomah County, Oregon",2020,"1,126",0,16,0,0,0,0,0,0,0,0,0,0,0,0,46,56,33,56,133,492,294,0,0,0,0,0
"Census Tract 82.01, Multnomah County, Oregon",2020,764,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,29,31,13,53,310,215,100,0,0,0,0
"Census Tract 82.03, Multnomah County, Oregon",2020,857,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,38,32,151,234,229,123,0,0,21,0,0
"Census Tract 82.04, Multnomah County, Oregon",2020,669,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,62,0,200,43,258,22,0,0,22,0,0
"Census Tract 83.01, Multnomah County, Oregon",2020,596,10,0,8,0,0,0,0,0,9,0,0,0,0,8,0,12,76,61,70,289,37,16,0,0,0,0
"Census Tract 83.02, Multnomah County, Oregon",2020,947,8,16,0,8,0,0,0,44,0,0,4,0,0,0,0,0,8,170,226,373,90,0,0,0,0,0
"Census Tract 84, Multnomah County, Oregon",2020,832,0,0,0,0,0,0,0,0,0,0,41,24,0,19,27,68,12,191,159,228,63,0,0,0,0,0
"Census Tract 85, Multnomah County, Oregon",2020,884,0,0,0,0,0,0,0,7,0,0,0,11,0,7,39,7,0,176,163,398,22,54,0,0,0,0
"Census Tract 86, Multnomah County, Oregon",2020,"1,018",34,39,0,0,6,12,0,0,0,0,0,0,0,0,8,9,76,138,103,483,48,0,62,0,0,0
"Census Tract 87, Multnomah County, Oregon",2020,"1,413",11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,43,120,262,547,255,125,8,0,0,0
"Census Tract 88, Multnomah County, Oregon",2020,"1,172",0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,83,0,222,245,394,142,44,0,0,0,20
"Census Tract 89.02, Multnomah County, Oregon",2020,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,40,47,172,201,59,12,0,0,0
"Census Tract 89.03, Multnomah County, Oregon",2020,"1,302",0,0,0,0,0,0,30,0,0,0,0,0,0,12,0,38,21,20,155,235,420,242,59,56,0,14
"Census Tract 89.04, Multnomah County, Oregon",2020,"1,052",15,0,0,0,0,0,0,17,0,79,0,0,0,34,0,0,11,116,100,418,204,58,0,0,0,0
"Census Tract 90.01, Multnomah County, Oregon",2020,"1,170",19,24,0,0,0,0,0,15,0,0,17,0,0,0,0,34,37,135,236,495,98,60,0,0,0,0
"Census Tract 90.02, Multnomah County, Oregon",2020,517,20,0,0,0,0,0,0,0,26,0,22,0,26,0,0,52,2,0,131,178,60,0,0,0,0,0
"Census Tract 91.01, Multnomah County, Oregon",2020,"1,004",48,0,10,19,0,0,0,0,0,0,0,0,0,21,21,8,34,236,219,309,79,0,0,0,0,0
"Census Tract 91.02, Multnomah County, Oregon",2020,"1,519",0,0,0,0,18,0,23,0,0,0,0,0,37,0,15,118,36,188,279,539,266,0,0,0,0,0
"Census Tract 92.02, Multnomah County, Oregon",2020,993,0,0,45,0,0,0,0,0,0,9,0,0,0,47,8,53,159,170,206,244,19,16,0,0,0,17
"Census Tract 92.03, Multnomah County, Oregon",2020,702,0,0,12,55,33,0,0,0,0,0,0,0,0,4,0,12,22,53,106,368,37,0,0,0,0,0
"Census Tract 92.04, Multnomah County, Oregon",2020,862,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,106,26,141,307,207,9,5,0,0,0,28
"Census Tract 93.01, Multnomah County, Oregon",2020,904,0,18,0,0,0,0,0,34,0,0,0,0,0,11,0,27,0,97,123,353,212,29,0,0,0,0
"Census Tract 93.02, Multnomah County, Oregon",2020,884,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,43,136,225,386,56,22,0,0,0,0
"Census Tract 94, Multnomah County, Oregon",2020,"2,494",0,0,17,0,0,0,14,0,0,0,0,0,0,20,101,38,89,89,244,"1,364",445,62,11,0,0,0
"Census Tract 95.01, Multnomah County, Oregon",2020,"1,203",44,0,9,0,7,0,0,0,7,6,11,0,0,5,21,37,0,162,154,333,324,83,0,0,0,0
"Census Tract 95.02, Multnomah County, Oregon",2020,904,6,0,0,0,9,0,0,0,0,0,0,0,9,0,0,8,0,23,111,457,252,29,0,0,0,0
"Census Tract 96.03, Multnomah County, Oregon",2020,818,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,31,103,286,371,0,0,0,0,0,0
"Census Tract 96.04, Multnomah County, Oregon",2020,818,0,0,0,17,0,8,0,20,0,37,7,0,0,0,48,68,82,64,290,177,0,0,0,0,0,0
